Classificação	Pontuação	Campeonato
1	2.339	Inglês
2	2.146	Inglês
3	2.002	Inglês
4	1.842	Inglês
5	1.719	Inglês
6	1.635	Inglês
7	1.523	Inglês
8	1.407	Inglês
1	1.99	Brasileiro
2	1.806	Brasileiro
3	1.748	Brasileiro
4	1.661	Brasileiro
5	1.584	Brasileiro
6	1.523	Brasileiro
7	1.496	Brasileiro
8	1.441	Brasileiro
1	2.205	Francês
2	1.939	Francês
3	1.807	Francês
4	1.691	Francês
5	1.611	Francês
6	1.575	Francês
7	1.461	Francês
8	1.407	Francês
1	2.316	Alemão
2	2.004	Alemão
3	1.863	Alemão
4	1.741	Alemão
5	1.602	Alemão
6	1.529	Alemão
7	1.459	Alemão
8	1.39	Alemão
1	2.317	Italiano
2	2.083	Italiano
3	1.897	Italiano
4	1.723	Italiano
5	1.675	Italiano
6	1.566	Italiano
7	1.473	Italiano
8	1.406	Italiano
1	2.363	Espanhol
2	2.202	Espanhol
3	1.928	Espanhol
4	1.758	Espanhol
5	1.66	Espanhol
6	1.565	Espanhol
7	1.505	Espanhol
8	1.382	Espanhol
1	2.438	Português
2	2.236	Português
3	2.025	Português
4	1.756	Português
5	1.553	Português
6	1.435	Português
7	1.383	Português
8	1.323	Português
1	2.247	Turco
2	2.104	Turco
3	1.878	Turco
4	1.771	Turco
5	1.592	Turco
6	1.52	Turco
7	1.424	Turco
8	1.357	Turco
1	2.093	Russo
2	1.976	Russo
3	1.867	Russo
4	1.733	Russo
5	1.651	Russo
6	1.549	Russo
7	1.451	Russo
8	1.376	Russo
1	2.347	Holandês
2	2.182	Holandês
3	2.012	Holandês
4	1.822	Holandês
5	1.7	Holandês
6	1.612	Holandês
7	1.467	Holandês
8	1.382	Holandês
